epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.309464,0.79552,0.5,1,0.79416,0,0,0
2,0.626361,0.68324,0.5,1,0.78378,1.61199e-05,1.61199e-05,1.61199e-05
3,0.841119,0.77179,0.5,1,0.77204,3.11396e-05,3.11396e-05,3.11396e-05
4,1.03536,0.74692,0.5,1,0.7469,4.5059e-05,4.5059e-05,4.5059e-05
5,1.22747,0.78343,0.5,1,0.7045,5.78782e-05,5.78782e-05,5.78782e-05
6,1.43055,0.73593,0.5,1,0.67467,6.95973e-05,6.95973e-05,6.95973e-05
7,1.63154,0.59618,0.5,1,0.64791,8.0216e-05,8.0216e-05,8.0216e-05
8,1.82621,0.68031,0.5,1,0.61926,8.97346e-05,8.97346e-05,8.97346e-05
9,2.01144,0.46723,1,1,0.56316,9.8153e-05,9.8153e-05,9.8153e-05
10,2.18869,0.58471,1,1,0.52365,0.000105471,0.000105471,0.000105471
11,2.37144,0.39953,1,1,0.48977,0.000111689,0.000111689,0.000111689
12,2.5494,0.6556,1,1,0.45782,0.000116807,0.000116807,0.000116807
13,2.72542,0.41397,1,1,0.41907,0.000120824,0.000120824,0.000120824
14,2.91067,0.496,1,1,0.40002,0.000123741,0.000123741,0.000123741
15,3.09175,0.83249,1,1,0.37278,0.000125558,0.000125558,0.000125558
16,3.26976,0.47384,1,1,0.34078,0.000126275,0.000126275,0.000126275
17,3.4551,0.4291,1,1,0.30925,0.000125892,0.000125892,0.000125892
18,3.65475,0.28001,1,1,0.30925,0.000124408,0.000124408,0.000124408
19,3.8713,0.38798,1,1,0.28613,0.000121824,0.000121824,0.000121824
20,4.03938,0.33942,1,1,0.28613,0.00011814,0.00011814,0.00011814
21,4.21381,0.33569,1,1,0.279,0.000113356,0.000113356,0.000113356
22,4.39289,0.26628,1,1,0.279,0.000107471,0.000107471,0.000107471
23,4.59088,0.16311,1,1,0.26736,0.000100487,0.000100487,0.000100487
24,4.76583,0.55382,1,1,0.26736,9.24018e-05,9.24018e-05,9.24018e-05
25,4.94584,0.33271,1,1,0.26468,8.32166e-05,8.32166e-05,8.32166e-05
26,5.11779,0.22012,1,1,0.26468,7.29312e-05,7.29312e-05,7.29312e-05
27,5.30194,0.21686,1,1,0.25888,6.15456e-05,6.15456e-05,6.15456e-05
28,5.47624,0.18059,1,1,0.25888,4.90598e-05,4.90598e-05,4.90598e-05
29,5.6518,0.40017,1,1,0.23657,3.54738e-05,3.54738e-05,3.54738e-05
30,5.82449,0.15984,1,1,0.23657,2.07875e-05,2.07875e-05,2.07875e-05
